old_path,final_path,status_code,reason
/transportation/,/transportation/,200,"Scaffolded in WG1 reusing getting-around content; prefer host 301 from any legacy aliases"
/getting-around/,/transportation/,301,"Align repo alias with live Transportation URL; content reused from getting-around scaffold"
/hubs/faizabad-city/,/hubs/faizabad/,301,"Live Faizabad hub slug → repo hub slug"
/privacy/,/privacy/,200,"Restore draft privacy stub in repo (operator review pending) — was 404 in prior dist"
/terms/,/terms/,200,"Restore draft terms stub in repo (operator review pending; no invented payment/refund clauses) — was 404 in prior dist"
/regions/wakhan-northeast/,,404,"Live Wakhan region page missing in repo regions.csv (only central/north/west/south/east) — BLOCKED pending region content + map verification"
/Sample.html,,410,"Historical Sample.html not found in zip1 or workspace packages — flag; confirm via cpanel-final / html-handoff when attached"
/sample.html,,410,"Case variant of Sample.html — same status"
/restaurants/,,410,"Live restaurants URL is broken Apache autoindex; zip1 had restaurants routes — do not advertise until rebuilt"
/story/,,404,"zip1-only story.astro; not on live as working page; not in repo"
/partnership/,,404,"zip1-only partnership.astro; not on live as working page; not in repo"
/destinations/bamyan/,/provinces/bamyan/,301,"live province under destinations → dedicated provinces IA (Bamyan)"
/destinations/daykundi/,/provinces/daykundi/,301,"live province under destinations → dedicated provinces IA (Daykundi)"
/destinations/ghazni/,/provinces/ghazni/,301,"live province under destinations → dedicated provinces IA (Ghazni)"
/destinations/kabul/,/provinces/kabul/,301,"live province under destinations → dedicated provinces IA (Kabul)"
/destinations/kapisa/,/provinces/kapisa/,301,"live province under destinations → dedicated provinces IA (Kapisa)"
/destinations/logar/,/provinces/logar/,301,"live province under destinations → dedicated provinces IA (Logar)"
/destinations/panjshir/,/provinces/panjshir/,301,"live province under destinations → dedicated provinces IA (Panjshir)"
/destinations/parwan/,/provinces/parwan/,301,"live province under destinations → dedicated provinces IA (Parwan)"
/destinations/wardak/,/provinces/wardak/,301,"live province under destinations → dedicated provinces IA (Wardak)"
/destinations/khost/,/provinces/khost/,301,"live province under destinations → dedicated provinces IA (Khost)"
/destinations/kunar/,/provinces/kunar/,301,"live province under destinations → dedicated provinces IA (Kunar)"
/destinations/laghman/,/provinces/laghman/,301,"live province under destinations → dedicated provinces IA (Laghman)"
/destinations/nangarhar/,/provinces/nangarhar/,301,"live province under destinations → dedicated provinces IA (Nangarhar)"
/destinations/nuristan/,/provinces/nuristan/,301,"live province under destinations → dedicated provinces IA (Nuristan)"
/destinations/paktia/,/provinces/paktia/,301,"live province under destinations → dedicated provinces IA (Paktia)"
/destinations/paktika/,/provinces/paktika/,301,"live province under destinations → dedicated provinces IA (Paktika)"
/destinations/badakhshan/,/provinces/badakhshan/,301,"live province under destinations → dedicated provinces IA (Badakhshan)"
/destinations/baghlan/,/provinces/baghlan/,301,"live province under destinations → dedicated provinces IA (Baghlan)"
/destinations/balkh/,/provinces/balkh/,301,"live province under destinations → dedicated provinces IA (Balkh)"
/destinations/faryab/,/provinces/faryab/,301,"live province under destinations → dedicated provinces IA (Faryab)"
/destinations/jowzjan/,/provinces/jowzjan/,301,"live province under destinations → dedicated provinces IA (Jowzjan)"
/destinations/kunduz/,/provinces/kunduz/,301,"live province under destinations → dedicated provinces IA (Kunduz)"
/destinations/samangan/,/provinces/samangan/,301,"live province under destinations → dedicated provinces IA (Samangan)"
/destinations/sar-e-pol/,/provinces/sar-e-pol/,301,"live province under destinations → dedicated provinces IA (Sar-e-Pol)"
/destinations/takhar/,/provinces/takhar/,301,"live province under destinations → dedicated provinces IA (Takhar)"
/destinations/helmand/,/provinces/helmand/,301,"live province under destinations → dedicated provinces IA (Helmand)"
/destinations/kandahar/,/provinces/kandahar/,301,"live province under destinations → dedicated provinces IA (Kandahar)"
/destinations/nimroz/,/provinces/nimroz/,301,"live province under destinations → dedicated provinces IA (Nimroz)"
/destinations/uruzgan/,/provinces/uruzgan/,301,"live province under destinations → dedicated provinces IA (Uruzgan)"
/destinations/zabul/,/provinces/zabul/,301,"live province under destinations → dedicated provinces IA (Zabul)"
/destinations/badghis/,/provinces/badghis/,301,"live province under destinations → dedicated provinces IA (Badghis)"
/destinations/farah/,/provinces/farah/,301,"live province under destinations → dedicated provinces IA (Farah)"
/destinations/ghor/,/provinces/ghor/,301,"live province under destinations → dedicated provinces IA (Ghor)"
/destinations/herat/,/provinces/herat/,301,"live province under destinations → dedicated provinces IA (Herat)"
/food-culture/desserts/firni-pudding/,/food-culture/firni-pudding/,301,"mapped from zip1 food/desserts/firni-pudding.md"
/food-culture/desserts/ghazni-sheer-pira/,/food-culture/sheer-pira/,301,"mapped from zip1 food/desserts/ghazni-sheer-pira.md (alias ghazni-sheer-pira→sheer-pira)"
/food-culture/desserts/gosh-e-fil/,/food-culture/gosh-e-fil/,301,"mapped from zip1 food/desserts/gosh-e-fil.md"
/food-culture/desserts/halwa/,/food-culture/afghan-halwa/,301,"mapped from zip1 food/desserts/halwa.md (alias halwa→afghan-halwa)"
/food-culture/desserts/herat-baklava/,/food-culture/herat-baklava/,301,"mapped from zip1 food/desserts/herat-baklava.md"
/food-culture/desserts/herat-ice-cream/,/food-culture/herat-ice-cream/,301,"mapped from zip1 food/desserts/herat-ice-cream.md"
/food-culture/desserts/jalebi/,/food-culture/jalebi-sweet/,301,"mapped from zip1 food/desserts/jalebi.md (alias jalebi→jalebi-sweet)"
/food-culture/desserts/kandahar-sweets/,/food-culture/kandahar-sweets/,301,"mapped from zip1 food/desserts/kandahar-sweets.md"
/food-culture/desserts/kulcha-cookie/,/food-culture/kulcha-cookie/,301,"mapped from zip1 food/desserts/kulcha-cookie.md"
/food-culture/desserts/saffron-ice-cream/,/food-culture/herat-ice-cream/,301,"mapped from zip1 food/desserts/saffron-ice-cream.md (alias saffron-ice-cream→herat-ice-cream)"
/food-culture/desserts/sheer-pira/,/food-culture/sheer-pira/,301,"mapped from zip1 food/desserts/sheer-pira.md"
/food-culture/desserts/sheer-yakh/,/food-culture/sheer-e-yakh/,301,"mapped from zip1 food/desserts/sheer-yakh.md (alias sheer-yakh→sheer-e-yakh)"
/food-culture/desserts/sweet-streets-of-mazar/,,404,"UNMAPPED zip1 food/desserts/sweet-streets-of-mazar.md — no flat slug in repo (flag)"
/food-culture/dishes/ash/,/food-culture/ash-soup/,301,"fuzzy ash→ash-soup from zip1 — VERIFY before host cutover"
/food-culture/dishes/aushak/,/food-culture/aushak-dumplings/,301,"mapped from zip1 food/dishes/aushak.md (alias aushak→aushak-dumplings)"
/food-culture/dishes/bodana/,,404,"UNMAPPED zip1 food/dishes/bodana.md — no flat slug in repo (flag)"
/food-culture/dishes/bolani/,/food-culture/bolani-flatbread/,301,"fuzzy bolani→bolani-flatbread from zip1 — VERIFY before host cutover"
/food-culture/dishes/chapli-kabob/,/food-culture/chapli-kebab/,301,"mapped from zip1 food/dishes/chapli-kabob.md (alias chapli-kabob→chapli-kebab)"
/food-culture/dishes/chicken-kabuli/,/food-culture/chicken-qabili/,301,"mapped from zip1 food/dishes/chicken-kabuli.md (alias chicken-kabuli→chicken-qabili)"
/food-culture/dishes/chiken-korma/,,404,"UNMAPPED zip1 food/dishes/chiken-korma.md — no flat slug in repo (flag)"
/food-culture/dishes/herat-kabob/,/food-culture/herati-kebab/,301,"mapped from zip1 food/dishes/herat-kabob.md (alias herat-kabob→herati-kebab)"
/food-culture/dishes/kabul-kabob/,/food-culture/kabul-kebab/,301,"mapped from zip1 food/dishes/kabul-kabob.md (alias kabul-kabob→kabul-kebab)"
/food-culture/dishes/kabuli-pulao/,/food-culture/kabuli-pulao/,301,"mapped from zip1 food/dishes/kabuli-pulao.md"
/food-culture/dishes/kandahari-rosh/,/food-culture/kandahar-rosht/,301,"mapped from zip1 food/dishes/kandahari-rosh.md (alias kandahari-rosh→kandahar-rosht)"
/food-culture/dishes/kunar-trout/,,404,"UNMAPPED zip1 food/dishes/kunar-trout.md — no flat slug in repo (flag)"
/food-culture/dishes/mantu/,/food-culture/mantu-dumplings/,301,"mapped from zip1 food/dishes/mantu.md (alias mantu→mantu-dumplings)"
/food-culture/dishes/naan/,/food-culture/afghan-naan/,301,"fuzzy naan→afghan-naan from zip1 — VERIFY before host cutover"
/food-culture/dishes/qaroot-khurti/,/food-culture/qaroot-khurti/,301,"mapped from zip1 food/dishes/qaroot-khurti.md"
/food-culture/dishes/qawardagh/,,404,"UNMAPPED zip1 food/dishes/qawardagh.md — no flat slug in repo (flag)"
